11152 : 5932 2019-10-17  8:17:39 434 :  0:	KTS connected to 192.168.1.168:63118
 7408 :10696 2019-10-17  8:17:39 739 :  0:	session.exe started 
 7408 :10696 2019-10-17  8:17:39 868 :  0:	connected to 192.168.1.168:63118
 7408 : 2316 2019-10-17  8:17:42 264 :  0:	login refused: [ JJ ] - The user name or password is incorrect.

 7408 : 2316 2019-10-17  8:17:42 283 :  0:	login refused: [ JJ ] - The user name or password is incorrect.

 7408 : 2316 2019-10-17  8:17:42 303 :  0:	login refused: [ JJ ] - The user name or password is incorrect.

 7408 : 2316 2019-10-17  8:17:42 319 :  0:	max login attempts
 7408 : 6064 2019-10-17  8:17:42 345 :  0:	session.exe end
11152 : 5932 2019-10-17  8:20: 0 142 :  0:	KTS connected to 192.168.1.168:63155
 9988 : 8704 2019-10-17  8:20: 0 488 :  0:	session.exe started 
 9988 : 8704 2019-10-17  8:20: 0 702 :  0:	connected to 192.168.1.168:63155
 9988 :11032 2019-10-17  8:20: 2 251 :  0:	login accepted: [ admin68 ]
 9988 :11032 2019-10-17  8:20: 2 268 :  0:	access denied to subsystem [terminal] for user Admin68
 9988 : 2772 2019-10-17  8:20: 2 287 :  0:	session.exe end
11152 : 8628 2019-10-17  8:20: 7 432 :  0:	stopping service
 1620 : 6088 2019-10-17  8:20:14  40 :  0:	daemon.exe started
 1620 : 1700 2019-10-17  8:20:14  60 :  0:	starting service
 1620 : 1700 2019-10-17  8:20:17 405 :  0:	KTS connected to 192.168.1.168:63159
 7104 : 6080 2019-10-17  8:20:17 718 :  0:	session.exe started 
 7104 : 6080 2019-10-17  8:20:17 833 :  0:	connected to 192.168.1.168:63159
 7104 : 8548 2019-10-17  8:20:20 390 :  0:	login accepted: [ admin68 ]
 7104 : 8548 2019-10-17  8:20:20 404 :  0:	access denied to subsystem [terminal] for user Admin68
 7104 : 8300 2019-10-17  8:20:20 418 :  0:	session.exe end
 1620 : 6088 2019-10-17  8:20:40 744 :  0:	stopping service
  200 : 9536 2019-10-17  8:20:44 928 :  0:	daemon.exe started
  200 : 6208 2019-10-17  8:20:44 947 :  0:	starting service
  200 : 6208 2019-10-17  8:21: 1 333 :  0:	KTS connected to 192.168.1.168:63161
11012 : 5932 2019-10-17  8:21: 1 651 :  0:	session.exe started 
11012 : 5932 2019-10-17  8:21: 1 766 :  0:	connected to 192.168.1.168:63161
11012 : 9560 2019-10-17  8:21: 4 659 :  0:	login accepted: [ admin68 ]
11012 : 9560 2019-10-17  8:21: 4 678 :  0:	access denied to subsystem [terminal] for user Admin68
11012 : 9384 2019-10-17  8:21: 4 697 :  0:	session.exe end
  200 : 6208 2019-10-17  8:22:52 294 :  0:	KTS connected to 192.168.1.168:63186
 9972 : 2316 2019-10-17  8:22:52 615 :  0:	session.exe started 
 9972 : 2316 2019-10-17  8:22:52 740 :  0:	connected to 192.168.1.168:63186
 9972 :10816 2019-10-17  8:22:55 873 :  0:	login accepted: [ admin68 ]
 9972 :10816 2019-10-17  8:22:55 892 :  0:	access denied to subsystem [terminal] for user Admin68
 9972 : 3528 2019-10-17  8:22:55 913 :  0:	session.exe end
  200 : 9536 2019-10-17 10:58:49 858 :  0:	stopping service
 9976 :  512 2019-10-17 10:58:54 200 :  0:	KSetup::Install:err
 9976 :  512 2019-10-17 10:58:55 120 :  0:	KSetup::Install:err
11412 : 2796 2019-10-17 10:59: 0 485 :  0:	daemon.exe started
11412 : 2688 2019-10-17 10:59: 0 505 :  0:	starting service
 4124 : 4128 2019-10-19 16:37:46 545 :  0:	daemon.exe started
 4124 : 4384 2019-10-19 16:37:46 592 :  0:	starting service
 4124 : 4384 2019-10-20  3:29:49 817 :  0:	KTS connected to 192.168.1.106:52604
 2304 : 2932 2019-10-20  3:29:51 942 :  0:	session.exe started 
 2304 : 2932 2019-10-20  3:29:52   5 :  0:	connected to 192.168.1.106:52604
 2304 :  936 2019-10-20  3:29:55  52 :  0:	login accepted: [ admin68 ]
 2304 :  936 2019-10-20  3:29:55  83 :  0:	access denied to subsystem [terminal] for user Admin68
 2304 : 2932 2019-10-20  3:29:55 130 :  0:	shutdown session
 2304 : 5496 2019-10-20  3:29:55 411 :  0:	session.exe end
 4124 : 4384 2019-10-20  3:29:59 225 :  0:	KTS connected to 192.168.1.106:52636
 5932 : 1272 2019-10-20  3:29:59 521 :  0:	session.exe started 
 5932 : 1272 2019-10-20  3:29:59 646 :  0:	connected to 192.168.1.106:52636
 5932 : 1608 2019-10-20  3:30: 2 194 :  0:	login accepted: [ admin68 ]
 5932 : 1608 2019-10-20  3:30: 2 241 :  0:	access denied to subsystem [terminal] for user Admin68
 5932 : 1220 2019-10-20  3:30: 2 256 :  0:	session.exe end
 4124 : 4384 2019-10-20  3:30: 5 904 :  0:	KTS connected to 192.168.1.106:52638
